# Bloco | Indice | Chave Primaria | Status | Registro (string)
0 | 0 | 11 | 1 | [TESTE] [11] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 1 | 29 | 1 | [TESTE] [29] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 2 | 6 | 1 | [TESTE] [6] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 3 | 79 | 1 | [TESTE] [79] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 4 | 23 | 1 | [TESTE] [23] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 5 | 40 | 1 | [TESTE] [40] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 6 | 98 | 1 | [TESTE] [98] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 7 | 46 | 1 | [TESTE] [46] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 8 | 64 | 1 | [TESTE] [64] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 9 | 17 | 1 | [TESTE] [17] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 10 | 16 | 1 | [TESTE] [16] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 11 | 38 | 1 | [TESTE] [38] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 12 | 5 | 1 | [TESTE] [5] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 13 | 30 | 1 | [TESTE] [30] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 14 | 94 | 1 | [TESTE] [94] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 15 | 19 | 1 | [TESTE] [19] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 16 | 99 | 1 | [TESTE] [99] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 17 | 90 | 1 | [TESTE] [90] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 18 | 25 | 1 | [TESTE] [25] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 19 | 42 | 1 | [TESTE] [42] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 20 | 74 | 1 | [TESTE] [74] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 21 | 26 | 1 | [TESTE] [26] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

0 | 22 | 14 | 1 | [TESTE] [14] [-1111.11] [] [: ] [-11111] [] [] Títulos da Série:

